Day,Service,Field,Value
1,Invio e ritiro pacchi,1,41
1,Invio e ritiro pacchi,2,41.000000
1,Invio e ritiro pacchi,3,63
1,Invio e ritiro pacchi,4,4
1,Invio e ritiro pacchi,5,63.000000
1,Invio e ritiro pacchi,6,4.000000
1,Invio e ritiro pacchi,8,0.000000
1,Invio e ritiro pacchi,10,0.000000
1,Invio e ritiro pacchi,11,7
1,Invio e ritiro pacchi,13,2
1,Invio e ritiro pacchi,14,1.166667
1,Invio e lettere e raccomandate,1,32
1,Invio e lettere e raccomandate,2,32.000000
1,Invio e lettere e raccomandate,3,46
1,Invio e lettere e raccomandate,4,4
1,Invio e lettere e raccomandate,5,46.000000
1,Invio e lettere e raccomandate,6,4.000000
1,Invio e lettere e raccomandate,8,0.000000
1,Invio e lettere e raccomandate,10,0.000000
1,Invio e lettere e raccomandate,11,7
1,Invio e lettere e raccomandate,13,1
1,Invio e lettere e raccomandate,14,1.166667
1,Prelievi e versamenti Bancoposta,1,37
1,Prelievi e versamenti Bancoposta,2,37.000000
1,Prelievi e versamenti Bancoposta,3,50
1,Prelievi e versamenti Bancoposta,4,4
1,Prelievi e versamenti Bancoposta,5,50.000000
1,Prelievi e versamenti Bancoposta,6,4.000000
1,Prelievi e versamenti Bancoposta,8,0.000000
1,Prelievi e versamenti Bancoposta,10,0.000000
1,Prelievi e versamenti Bancoposta,11,7
1,Prelievi e versamenti Bancoposta,13,1
1,Prelievi e versamenti Bancoposta,14,1.166667
1,Pagamento bollettini postali,1,32
1,Pagamento bollettini postali,2,32.000000
1,Pagamento bollettini postali,3,42
1,Pagamento bollettini postali,4,5
1,Pagamento bollettini postali,5,42.000000
1,Pagamento bollettini postali,6,5.000000
1,Pagamento bollettini postali,8,0.000000
1,Pagamento bollettini postali,10,0.000000
1,Pagamento bollettini postali,11,7
1,Pagamento bollettini postali,13,1
1,Pagamento bollettini postali,14,1.166667
1,Acquisto prodotti finanziari,1,30
1,Acquisto prodotti finanziari,2,30.000000
1,Acquisto prodotti finanziari,3,36
1,Acquisto prodotti finanziari,4,3
1,Acquisto prodotti finanziari,5,36.000000
1,Acquisto prodotti finanziari,6,3.000000
1,Acquisto prodotti finanziari,8,0.000000
1,Acquisto prodotti finanziari,10,0.000000
1,Acquisto prodotti finanziari,11,6
1,Acquisto prodotti finanziari,13,3
1,Acquisto prodotti finanziari,14,1.000000
1,Acquisto orologi e braccialetti,1,30
1,Acquisto orologi e braccialetti,2,30.000000
1,Acquisto orologi e braccialetti,3,47
1,Acquisto orologi e braccialetti,4,6
1,Acquisto orologi e braccialetti,5,47.000000
1,Acquisto orologi e braccialetti,6,6.000000
1,Acquisto orologi e braccialetti,8,0.000000
1,Acquisto orologi e braccialetti,10,0.000000
1,Acquisto orologi e braccialetti,11,5
1,Acquisto orologi e braccialetti,13,0
1,Acquisto orologi e braccialetti,14,0.833333
2,Invio e ritiro pacchi,1,30
2,Invio e ritiro pacchi,2,15.000000
2,Invio e ritiro pacchi,3,41
2,Invio e ritiro pacchi,4,2
2,Invio e ritiro pacchi,5,20.500000
2,Invio e ritiro pacchi,6,1.000000
2,Invio e ritiro pacchi,8,0.000000
2,Invio e ritiro pacchi,10,0.000000
2,Invio e ritiro pacchi,11,7
2,Invio e ritiro pacchi,13,2
2,Invio e ritiro pacchi,14,1.166667
2,Invio e lettere e raccomandate,1,30
2,Invio e lettere e raccomandate,2,15.000000
2,Invio e lettere e raccomandate,3,40
2,Invio e lettere e raccomandate,4,0
2,Invio e lettere e raccomandate,5,20.000000
2,Invio e lettere e raccomandate,6,0.000000
2,Invio e lettere e raccomandate,8,0.000000
2,Invio e lettere e raccomandate,10,0.000000
2,Invio e lettere e raccomandate,11,7
2,Invio e lettere e raccomandate,13,1
2,Invio e lettere e raccomandate,14,1.166667
2,Prelievi e versamenti Bancoposta,1,24
2,Prelievi e versamenti Bancoposta,2,12.000000
2,Prelievi e versamenti Bancoposta,3,35
2,Prelievi e versamenti Bancoposta,4,1
2,Prelievi e versamenti Bancoposta,5,17.500000
2,Prelievi e versamenti Bancoposta,6,0.500000
2,Prelievi e versamenti Bancoposta,8,0.000000
2,Prelievi e versamenti Bancoposta,10,0.000000
2,Prelievi e versamenti Bancoposta,11,6
2,Prelievi e versamenti Bancoposta,13,0
2,Prelievi e versamenti Bancoposta,14,1.000000
2,Pagamento bollettini postali,1,29
2,Pagamento bollettini postali,2,14.500000
2,Pagamento bollettini postali,3,42
2,Pagamento bollettini postali,4,3
2,Pagamento bollettini postali,5,21.000000
2,Pagamento bollettini postali,6,1.500000
2,Pagamento bollettini postali,8,0.000000
2,Pagamento bollettini postali,10,0.000000
2,Pagamento bollettini postali,11,6
2,Pagamento bollettini postali,13,0
2,Pagamento bollettini postali,14,1.000000
2,Acquisto prodotti finanziari,1,32
2,Acquisto prodotti finanziari,2,16.000000
2,Acquisto prodotti finanziari,3,43
2,Acquisto prodotti finanziari,4,4
2,Acquisto prodotti finanziari,5,21.500000
2,Acquisto prodotti finanziari,6,2.000000
2,Acquisto prodotti finanziari,8,0.000000
2,Acquisto prodotti finanziari,10,0.000000
2,Acquisto prodotti finanziari,11,6
2,Acquisto prodotti finanziari,13,4
2,Acquisto prodotti finanziari,14,1.000000
2,Acquisto orologi e braccialetti,1,27
2,Acquisto orologi e braccialetti,2,13.500000
2,Acquisto orologi e braccialetti,3,44
2,Acquisto orologi e braccialetti,4,2
2,Acquisto orologi e braccialetti,5,22.000000
2,Acquisto orologi e braccialetti,6,1.000000
2,Acquisto orologi e braccialetti,8,0.000000
2,Acquisto orologi e braccialetti,10,0.000000
2,Acquisto orologi e braccialetti,11,6
2,Acquisto orologi e braccialetti,13,2
2,Acquisto orologi e braccialetti,14,1.000000
3,Invio e ritiro pacchi,1,26
3,Invio e ritiro pacchi,2,8.666667
3,Invio e ritiro pacchi,3,35
3,Invio e ritiro pacchi,4,5
3,Invio e ritiro pacchi,5,11.666667
3,Invio e ritiro pacchi,6,1.666667
3,Invio e ritiro pacchi,8,0.000000
3,Invio e ritiro pacchi,10,0.000000
3,Invio e ritiro pacchi,11,7
3,Invio e ritiro pacchi,13,2
3,Invio e ritiro pacchi,14,1.166667
3,Invio e lettere e raccomandate,1,34
3,Invio e lettere e raccomandate,2,11.333333
3,Invio e lettere e raccomandate,3,48
3,Invio e lettere e raccomandate,4,3
3,Invio e lettere e raccomandate,5,16.000000
3,Invio e lettere e raccomandate,6,1.000000
3,Invio e lettere e raccomandate,8,0.000000
3,Invio e lettere e raccomandate,10,0.000000
3,Invio e lettere e raccomandate,11,7
3,Invio e lettere e raccomandate,13,2
3,Invio e lettere e raccomandate,14,1.166667
3,Prelievi e versamenti Bancoposta,1,28
3,Prelievi e versamenti Bancoposta,2,9.333333
3,Prelievi e versamenti Bancoposta,3,39
3,Prelievi e versamenti Bancoposta,4,8
3,Prelievi e versamenti Bancoposta,5,13.000000
3,Prelievi e versamenti Bancoposta,6,2.666667
3,Prelievi e versamenti Bancoposta,8,0.000000
3,Prelievi e versamenti Bancoposta,10,0.000000
3,Prelievi e versamenti Bancoposta,11,6
3,Prelievi e versamenti Bancoposta,13,0
3,Prelievi e versamenti Bancoposta,14,1.000000
3,Pagamento bollettini postali,1,27
3,Pagamento bollettini postali,2,9.000000
3,Pagamento bollettini postali,3,33
3,Pagamento bollettini postali,4,10
3,Pagamento bollettini postali,5,11.000000
3,Pagamento bollettini postali,6,3.333333
3,Pagamento bollettini postali,8,0.000000
3,Pagamento bollettini postali,10,0.000000
3,Pagamento bollettini postali,11,7
3,Pagamento bollettini postali,13,2
3,Pagamento bollettini postali,14,1.166667
3,Acquisto prodotti finanziari,1,33
3,Acquisto prodotti finanziari,2,11.000000
3,Acquisto prodotti finanziari,3,48
3,Acquisto prodotti finanziari,4,6
3,Acquisto prodotti finanziari,5,16.000000
3,Acquisto prodotti finanziari,6,2.000000
3,Acquisto prodotti finanziari,8,0.000000
3,Acquisto prodotti finanziari,10,0.000000
3,Acquisto prodotti finanziari,11,6
3,Acquisto prodotti finanziari,13,2
3,Acquisto prodotti finanziari,14,1.000000
3,Acquisto orologi e braccialetti,1,34
3,Acquisto orologi e braccialetti,2,11.333333
3,Acquisto orologi e braccialetti,3,58
3,Acquisto orologi e braccialetti,4,8
3,Acquisto orologi e braccialetti,5,19.333334
3,Acquisto orologi e braccialetti,6,2.666667
3,Acquisto orologi e braccialetti,8,0.000000
3,Acquisto orologi e braccialetti,10,0.000000
3,Acquisto orologi e braccialetti,11,6
3,Acquisto orologi e braccialetti,13,3
3,Acquisto orologi e braccialetti,14,1.000000
4,Invio e ritiro pacchi,1,32
4,Invio e ritiro pacchi,2,8.000000
4,Invio e ritiro pacchi,3,46
4,Invio e ritiro pacchi,4,5
4,Invio e ritiro pacchi,5,11.500000
4,Invio e ritiro pacchi,6,1.250000
4,Invio e ritiro pacchi,8,0.000000
4,Invio e ritiro pacchi,10,0.000000
4,Invio e ritiro pacchi,11,7
4,Invio e ritiro pacchi,13,2
4,Invio e ritiro pacchi,14,1.166667
4,Invio e lettere e raccomandate,1,41
4,Invio e lettere e raccomandate,2,10.250000
4,Invio e lettere e raccomandate,3,58
4,Invio e lettere e raccomandate,4,4
4,Invio e lettere e raccomandate,5,14.500000
4,Invio e lettere e raccomandate,6,1.000000
4,Invio e lettere e raccomandate,8,0.000000
4,Invio e lettere e raccomandate,10,0.000000
4,Invio e lettere e raccomandate,11,7
4,Invio e lettere e raccomandate,13,1
4,Invio e lettere e raccomandate,14,1.166667
4,Prelievi e versamenti Bancoposta,1,31
4,Prelievi e versamenti Bancoposta,2,7.750000
4,Prelievi e versamenti Bancoposta,3,46
4,Prelievi e versamenti Bancoposta,4,5
4,Prelievi e versamenti Bancoposta,5,11.500000
4,Prelievi e versamenti Bancoposta,6,1.250000
4,Prelievi e versamenti Bancoposta,8,0.000000
4,Prelievi e versamenti Bancoposta,10,0.000000
4,Prelievi e versamenti Bancoposta,11,7
4,Prelievi e versamenti Bancoposta,13,1
4,Prelievi e versamenti Bancoposta,14,1.166667
4,Pagamento bollettini postali,1,39
4,Pagamento bollettini postali,2,9.750000
4,Pagamento bollettini postali,3,53
4,Pagamento bollettini postali,4,1
4,Pagamento bollettini postali,5,13.250000
4,Pagamento bollettini postali,6,0.250000
4,Pagamento bollettini postali,8,0.000000
4,Pagamento bollettini postali,10,0.000000
4,Pagamento bollettini postali,11,7
4,Pagamento bollettini postali,13,2
4,Pagamento bollettini postali,14,1.166667
4,Acquisto prodotti finanziari,1,37
4,Acquisto prodotti finanziari,2,9.250000
4,Acquisto prodotti finanziari,3,48
4,Acquisto prodotti finanziari,4,4
4,Acquisto prodotti finanziari,5,12.000000
4,Acquisto prodotti finanziari,6,1.000000
4,Acquisto prodotti finanziari,8,0.000000
4,Acquisto prodotti finanziari,10,0.000000
4,Acquisto prodotti finanziari,11,6
4,Acquisto prodotti finanziari,13,1
4,Acquisto prodotti finanziari,14,1.000000
4,Acquisto orologi e braccialetti,1,38
4,Acquisto orologi e braccialetti,2,9.500000
4,Acquisto orologi e braccialetti,3,49
4,Acquisto orologi e braccialetti,4,6
4,Acquisto orologi e braccialetti,5,12.250000
4,Acquisto orologi e braccialetti,6,1.500000
4,Acquisto orologi e braccialetti,8,0.000000
4,Acquisto orologi e braccialetti,10,0.000000
4,Acquisto orologi e braccialetti,11,5
4,Acquisto orologi e braccialetti,13,0
4,Acquisto orologi e braccialetti,14,0.833333
Total,generale,1,774
Total,generale,2,193.500000
Total,generale,3,1090
Total,generale,4,103
Total,generale,5,272.500000
